Reservoir1,
22.189997229001772,21968.07763058306,
32.03581986796384,20688.954513778233,
31.76238232934574,20603.711537308358,
34.27612278140506,19894.176616677698,
31.308703005587205,20630.492878183457,
35.342460717556115,19445.091174171313,
31.55324433296073,20578.981049356116,
33.33476051403972,20069.49405857465,
30.424671002337547,20846.24763536947,
Reservoir2,
0.0,6809.24813956154,
80.5757764809413,5562.450020645937,
35.92729985954057,5355.954542531482,
16.659022633000312,5235.792909168047,
18.847154805742804,5257.2399850450465,
6.5591822497789565,5306.294672951913,
13.076925078859233,5207.172964047769,
6.809364705774897,5270.822824122645,
24.938676360224974,5295.6223609056615,
